Country,Chocolate,Laureates
スイス,8.8,31.60099784
オーストリア,8.1,25.13762852
ドイツ,7.9,13.24528146
アイルランド,7.9,22.89878653
イギリス,7.6,19.97791794
スウェーデン,6.6,30.05196285
ノルウェー,5.8,24.28380067
ポーランド,5.7,4.986244264
ベルギー,5.6,8.696772167
フィンランド,5.4,9.02117215
オランダ,5.1,12.29187298
ニュージーランド,5,6.316324034
デンマーク,4.9,22.59158106
オーストラリア,4.9,4.844130611
チェコ,4.9,4.705771629
ロシア,4.8,1.59761376
アメリカ,4.4,11.72089885
フランス,4.3,10.73072052
カナダ,3.9,6.765210527
イタリア,3.3,3.373194997
ギリシャ,2.3,1.794983935
ポルトガル,1.8,1.943408716
スペイン,1.6,1.724232615
日本,1.2,2.201511728
南アフリカ,0.9,1.742208205
中国,0.1,0.063602176
